Category: All categories,,,,,
,,,,,
,Minecraft: (United States),Fortnite: (United States),World of Warcraft: (United States),Overwatch: (United States),Rocket League: (United States)
2018-07-29,27,82,15,7,3
2018-08-05,26,84,15,7,3
2018-08-12,24,76,22,6,2
2018-08-19,22,88,20,6,2
2018-08-26,20,80,18,7,3
2018-09-02,19,75,17,5,3
2018-09-09,18,68,14,5,2
2018-09-16,19,71,13,5,2
2018-09-23,18,100,12,4,2
2018-09-30,19,78,10,5,2
2018-10-07,19,79,9,7,2
2018-10-14,18,72,9,4,2
2018-10-21,18,75,8,5,2
2018-10-28,17,67,9,8,2
2018-11-04,18,66,9,8,2
2018-11-11,19,60,8,6,2
2018-11-18,25,65,8,7,3
2018-11-25,20,66,7,5,2
2018-12-02,21,91,7,6,2
2018-12-09,23,73,8,6,2
2018-12-16,26,75,7,5,2
2018-12-23,28,91,8,5,3
2018-12-30,25,77,8,5,3
2019-01-06,21,64,7,7,2
2019-01-13,22,69,6,5,2
2019-01-20,25,60,7,6,3
2019-01-27,26,82,7,5,3
2019-02-03,23,66,7,4,2
2019-02-10,23,75,7,4,2
2019-02-17,26,66,6,5,3
2019-02-24,24,79,6,6,2
2019-03-03,24,55,7,4,2
2019-03-10,25,55,8,4,2
2019-03-17,25,50,7,4,2
2019-03-24,26,50,7,3,2
2019-03-31,24,50,7,4,2
2019-04-07,24,49,7,4,2
2019-04-14,26,50,7,5,2
2019-04-21,29,53,7,4,2
2019-04-28,31,49,7,4,2
2019-05-05,33,62,7,4,2
2019-05-12,42,49,10,4,2
2019-05-19,43,46,11,5,2
2019-05-26,42,43,11,4,2
2019-06-02,41,42,10,5,2
2019-06-09,40,39,9,4,2
2019-06-16,40,42,10,4,3
2019-06-23,48,44,11,4,3
2019-06-30,56,42,11,4,3
2019-07-07,60,41,10,4,2
2019-07-14,66,47,9,5,2
2019-07-21,68,44,9,7,3